Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
10/11/2020,10/11/2020,Sennar,243,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,South Darfur,39,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,South Kordofan,15,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,West Darfur,34,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/11/2020,10/11/2020,White Nile,191,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_11_oct_2020.pdf
10/10/2020,10/10/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Al Jazirah,"1,137",https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Blue Nile,30,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Gedaref,274,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Kassala,227,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Khartoum,"9,836",https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,North Darfur,146,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,North Kordofan,203,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Northern,385,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Red Sea,391,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,River Nile,438,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,Sennar,243,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,South Darfur,39,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,South Kordofan,15,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,West Darfur,34,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,West Kordofan,69,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/10/2020,10/10/2020,White Nile,191,https://reliefweb.int/sites/reliefweb.int/files/resources/SUDAN_COVID-19_Situation_Overview_10Oct20_v14.pdf
10/07/2020,10/07/2020,Abyei PCA,,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Al Jazirah,"1,135",https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Blue Nile,30,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Central Darfur,6,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,East Darfur,21,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Gedaref,274,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Kassala,227,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,Khartoum,"9,825",https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
10/07/2020,10/07/2020,North Darfur,146,https://reliefweb.int/sites/reliefweb.int/files/resources/sudan_covid-19_situation_overview_response_a4_7_oct_2020.pdf
